Language,Glottocode,Genus,Population,Latitude,Longitude,Macroarea
Resígaro,resi1247,Arawakan,1,-2.48139,-71.3578,South America
Gurindji Kriol,guri1249,English-based,1000,-14.83,135,Australia & New Guinea
Copper Island Aleut,medn1235,Aleut,6000,54.6601,167.782,Eurasia
Sakha,yaku1245,Turkic,450000,61.6974,133.98,Eurasia
Kalderash Romani,vlax1238,Indic,200000,46.09,18.16,Eurasia
Sebjan‑Küöl Ėven,even1260,Tungusic,250,70.6687,130.914,Eurasia
Northern Tajik,taji1245,Iranian,8100000,38.8213,68.5549,Eurasia
Indonesian,indo1316,Malayic,210000000,-7.33458,109.716,Southeast Asia & Oceania
Uchur Ėvenki,even1259,Tungusic,38400,61.972,94.689,Eurasia
Middle English,midd1317,Germanic,0,51.65,-1.11,Eurasia
Chabacano,chav1241,Spanish-based,700000,7.435034,122.18849,Southeast Asia & Oceania
Bilin,bili1260,Central Cushitic,91000,15.7833,38.3917,Africa
Albanian,gheg1238,Albanian,7500000,42.317,21.3837,Eurasia
Cajamarca Quechua,caja1238,Quechuan,30000,-7.09314,-78.3214,South America
Uru,uruu1244,Uru-Chipaya,5343,-16.72547,-68.97119,South America
Israeli Hebrew,hebr1245,Semitic,9000000,31.1056,35.0179,Eurasia
Cappadocian Greek,capp1239,Greek,2800,38.73,35.45,Eurasia
Kormakiti,cypr1248,Semitic,140,35.1674,33.0943,Eurasia
Siwi,siwi1239,Berber,20000,29.200415,25.519627,Africa
Warndarang,wand1263,Maran,0,-14.2996,135.705,Australia & New Guinea
Garifuna,gari1256,Arawakan,200000,15.3529,-86.9091,North America
Mari,east2328,Finnic,500000,55.8307,48.405,Eurasia
Chantyal,chan1310,Bodic,4300,28.684,83.4488,Eurasia
Ritharngu,rita1239,Pama-Nyungan,32,-13.4559,135.259,Australia & New Guinea
Guina‑ang Bontok,cent2083,Northern Philippines,19600,17.08,120.92,Southeast Asia & Oceania
Sonqor Turkic,nucl1301,Turkic,40000,39.8667,32.8667,Eurasia
Ngandi,ngan1295,Ngandi,0,-12.8448,134.649,Australia & New Guinea
Danisi,naro1249,Central Khoisan,2000,-22.0939,20.7458,Africa
Istro‑Romanian,istr1245,Romance,1100,45.433,14.2,Eurasia
Koasati,koas1236,Muskogean,370,30.4096,-92.709,North America
Hasankeyf Arabic,nort3139,Semitic,9921,34.1709,36.0468,Eurasia
Sri Lanka Portuguese,mala1544,Romance,30,8.5867,81.211885,Eurasia
Kayardild,kaya1319,Taustralia & New Guineakic,25,-17.0695,139.489,Australia & New Guinea
Sumerian,sume1241,Sumerian,0,31.3,45.6667,Eurasia
Torau,tora1259,Oceanic,600,-6.19922,155.496,Southeast Asia & Oceania
Maltese,malt1254,Semitic,520000,35.8884,14.4508,Eurasia
Kharia,khar1287,Munda,297614,22.3571,84.3922,Eurasia
Ingrian Finnish,finn1318,Finnic,120,64.7628,25.5577,Eurasia
Malagasy,plat1254,Barito,25000000,-19.5907,47.1211,Africa
Wayampi‑Emerillon‑Zo’é,waya1271,Tupi-Guarani,150,3.25,-52.33,South America
Hawaiian,hawa1245,Oceanic,24000,19.6297,-155.43,Southeast Asia & Oceania
Kola Saami,kild1236,Finnic,35000,68.2158,35.8348,Eurasia
Western Kurmanji,nort2641,Iranian,15000000,37,43,Eurasia
Manange,mana1288,Bodic,390,28.6416,84.0515,Eurasia
Yiddish,east2295,Germanic,2000000,51.75,19.42,Eurasia
Megleno Romanian,megl1237,Romance,5000,41.1174,22.3782,Eurasia
Arvanitic Albanian,arva1236,Albanian,200000,38.283,23.3703,Eurasia
Lithuanian Romani,balt1257,Indic,3000,60,38,Eurasia
Sierra Popoluca,high1276,Mixe-Zoque,36000,18.198,-94.9109,North America
Brahui,brah1256,Northern Dravidian,2567677,29.04,66.56,Eurasia
Semelai,seme1247,Aslian,4100,2.82799,102.806,Eurasia
Tukang Besi,tuka1248,Sulawesi,250000,-5.30994,123.578,Australia & New Guinea
Kwerba Kasonaweja,nucl1595,Kwerba,2500,-2.2137,138.486,Southeast Asia & Oceania
Lezgian,lezg1247,Lezgic,800000,41.5157,47.8951,Eurasia
G|ui‑Gǁana,gwii1239,Central Khoisan,2500,-22.2708,21.9431,Africa
Central Siberian Yupik Eskimo,cent2128,Eskimo,1200,63.4308,-170.272,Eurasia
Kurux,kuru1302,Northern Dravidian,2084390,24.4644,86.4657,Eurasia
Turkish,nucl1301,Turkic,75700000,39.8667,32.8667,Eurasia
Azari,sout2697,Turkic,30000000,36.5137,48.4302,Eurasia
Kashmiri,kash1277,Indic,7000000,34.166825,74.330455,Eurasia
Khanty,khan1273,Ugric,9600,62.4308,66.1218,Eurasia
Finnish,finn1318,Finnic,5800000,64.7628,25.5577,Eurasia
"Carapana, Tatuyo, Wáimaja, and Yurutí",tatu1247,Tucanoan,1200,0.55582,-70.5327,South America
Basque,basq1248,Basque,750000,43.2787,-1.31622,Eurasia
Moroccan Arabic,moro1292,Semitic,21000000,32.5,-7.5,Africa
Wutun,wutu1241,Chinese-based,4000,35.269,101.957,Eurasia
Quechua de Puno,puno1238,Quechuan,500000,-14.608,-70.2084,South America
Chinese of Línxìa/Hézōu,mand1415,Chinese,2012100,40.0209,116.228,Eurasia
Judeo‑Spanish,ladi1251,Romance,133016,41.205,28.6632,Eurasia
Karelien,kare1335,Finnic,36000,65.1691,30.8655,Eurasia
Tariana,tari1256,Arawakan,100,0.440205,-68.9042,South America
Cho’ol,chol1282,Mayan,90000,17.4897,-92.4698,North America
Western Neo‑Aramaic of Ma’lūla,west2763,Semitic,21700,33.8162,36.484,Eurasia
Assamese,assa1263,Indic,15095797,26.0876,91.2932,Eurasia
Tetun Dili,tetu1246,Tetun-based,390000,-8.58405,125.583,Southeast Asia & Oceania
Purepecha/Tarascan,pure1242,Tarascan,175000,19.2467,-101.631,North America
Mexicanero de la Sierra Madre Occidental,dura1245,Aztecan,1300,24.93,-104.91,North America
Yucatec Maya,yuca1254,Mayan,800000,18.7757,-88.9567,North America
Kedang,keda1252,Central Malayo-Polynesian,30000,-8.23039,123.77,Southeast Asia & Oceania
Iraqi Arabic,meso1252,Semitic,15700000,33.8178,43.1095,Eurasia
Alabama and Choctaw‑Chickasaw,choc1276,Muskogean,35000,32.25,-88.5,North America
German,stan1295,Germanic,155000000,48.649,12.4676,Eurasia
Amuesha,yane1238,Arawakan,8700,-10.5454,-75.315,South America
Moghol,mogh1245,Mongolic,200,34.2504,62.2802,Eurasia
Dagur,daur1238,Mongolic,96000,48,124,Eurasia
Hungarian,hung1274,Ugric,13000000,46.90685857,19.65552714,Eurasia
Santa,dong1285,Mongolic,200000,35.5808,103.558,Eurasia
Middle Mongolic,,Mongolic,0,46,105,Eurasia
Ndunga-le,ndun1249,Ubangi,2500,2.3886,21.5755,Africa
Ilwana,ilwa1237,Bantoid,17000,-0.66322,39.793,Africa
South Swahili,swah1253,Bantoid,18000000,-8.25605,37.624,Africa
Central Mexicano Nahuatl,mich1245,Aztecan,1700000,18.3412,-103.361,North America
Bora,bora1263,Boran,2400,-2.000259,-72.257066,South America
Gurindji,guri1247,Pama-Nyungan,240,-17.0329,130.379,Australia & New Guinea
Russian,russ1263,Slavic,150000000,59,50,Eurasia
Mongolian,halh1238,Mongolic,5200000,48.324,106.289,Eurasia
Romanian,roma1327,Romance,26000000,46.3913,24.2256,Eurasia
Uzbek,nort2690,Turkic,27000000,40.886,69.211,Eurasia
Sanskrit,sans1269,Indic,24821,20,77,Eurasia
Norman French,angl1258,Romance,105300,48,2,Eurasia
Visayan,bisa1268,Meso-Philippine,27500000,8.39,124.37,Southeast Asia & Oceania
Tigre,tigr1270,Semitic,1000000,17.3494,38.2233,Africa
Bosnian/Croatian/Serbian,serb1264,Slavic,21000000,44.3238,21.9192,Eurasia
Spanish,stan1288,Romance,586000000,40.4414,-1.11788,Eurasia
Aymara,cent2142,Aymaran,1700000,-17,-68.5,South America
Dutch,dutc1256,Germanic,23000000,52,5,Eurasia
Greek,mode1248,Greek,13000000,38.36,23.13,Eurasia
Libyan Arabic,liby1240,Semitic,6095000,22.0032,15.0014,Africa
Nunggubuyu,nung1290,Nunggubuyu,272,-14.2623,135.753,Australia & New Guinea
Carib,gali1262,Cariban,7430,5.83772,-56.8323,South America
Chuvash,chuv1255,Turkic,1042989,55.487,47.163,Eurasia
Nepali,nepa1252,Indic,16000000,27.59,87.62,Eurasia
Ilokano,ilok1237,Northern Philippines,8100000,15.9361,120.993,Southeast Asia & Oceania
Kurdish,nort2641,Iranian,30000000,37,43,Eurasia
Kxoe languages,khoe1241,Central Khoisan,8000,-16.59,22.6,Africa
Croatian,croa1245,Slavic,5600000,45.555,15.982,Eurasia
Quapaw,quap1242,Siouan,1,36.9471,-94.6634,North America
Aramaic,hert1241,Semitic,850000,37.373,42.5192,Eurasia
Tamil,tami1289,Southern Dravidian,76000000,10.520219,78.825989,Eurasia
Northern Nyungic,dese1234,Pama-Nyungan,100,-33.12,118.15,Australia & New Guinea
Akkadian,akka1240,Semitic,0,33.1,44.1,Eurasia
Naasioi,naas1242,East Bougainville,20000,-6.46022,155.632,Southeast Asia & Oceania
Arabic,nort3139,Semitic,422000000,34.1709,36.0468,Eurasia
Sicilian Italian,sici1248,Romance,4700000,37.5735,14.0414,Eurasia
Sadri,sadr1248,Indic,5100000,23.6585,84.8114,Eurasia
Estonian,esto1258,Finnic,1100000,58.55,25.82,Eurasia
Swahili,swah1253,Bantoid,150000000,-8.25605,37.624,Africa
Banjar Malay,banj1239,Malayic,1245825,0.747105,115.79,Southeast Asia & Oceania
intermediate Proto‑Carib,cari1283,Cariban,30000,5.84,-56.83,South America
English,stan1293,Germanic,1350000000,53,-1,South America
Bulgarian,bulg1262,Slavic,5400000,43.3646,25.047,Eurasia
Makrān Baluchi,east2304,Iranian,9000000,28,62,Eurasia
Malay,mala1479,Malayic,290000000,1.85856,103,Eurasia
Warembori,ware1253,Lower Mamberano,600,-1.65941,137.566,Southeast Asia & Oceania
Farsi,west2369,Iranian,110000000,32.9,53.3,Eurasia
Shua‑Tshwa,naro1249,Central Khoisan,2000,-22.0939,20.7458,Africa
Chukchi,chuk1273,Northern Chukotko-Kamchatkan,5095,68.6436,170.045,Eurasia
Karrwa,gara1261,Garrwan,59,-17.45,137.72,Australia & New Guinea
Hindi,hind1269,Indic,528347193,25,77,Eurasia
Persian,west2369,Iranian,62000000,32.9,53.3,Eurasia
Komi‑Zyrian,komi1268,Finnic,285000,64.0527,54.946,Eurasia
Swedish,swed1254,Germanic,10000000,59.800634,17.389526,Eurasia
Yucuna and Cabiyarí,yucu1253,Arawakan,1800,-0.76075,-71.0033,South America
Latin,lati1261,Romance,2000,41.9026,12.4502,Eurasia
Moroccan Berber languages,atla1275,Berber,14000000,32.74,-2.41,Africa
Tibetan,tibe1272,Bodic,6000000,28.3681,90.1872,Eurasia
Eastern Tucanoan languages,east2698,Tucanoan,30000,0.58,-69.58,North America
Zoquean languages,zoqu1261,Mixe-Zoque,74000,17.22,-93.32,North America
Tibeto-Burman languages,brah1260,Baric,60000000,26.73,89.33,Eurasia
Portuguese,port1283,Romance,220000000,39.91,-8.1,Eurasia
Latvian,latv1249,Baltic,1300000,56.826108,24.309118,Eurasia
Quechua,nort2980,Quechuan,7700000,-11.2132,-75.8128,South America
Tajik,taji1245,Iranian,8100000,38.8213,68.5549,Eurasia
Chinese,mand1415,Chinese,1300000000,40.0209,116.228,Eurasia
Evenki,even1259,Tungusic,26580,61.972,94.689,Eurasia
Turkic,turk1311,Turkic,170000000,39.87,32.87,Eurasia
Lingala,ling1263,Bantoid,10000000,-4.409174,15.28532,Africa
Cushitic,,Eastern Cushitic,67200000,-0.85,39.95,Africa
North Swahili,swah1253,Bantoid,2000000,-8.25605,37.624,Africa